,city,latitude,lontitude,wind speed,cloudness,humidity,temp
248,kawalu,-7.38,108.21,1.01,93,68,84.4
249,willowmore,-33.29,23.49,1.39,0,71,67.96
250,clyde river,70.47,-68.59,3.36,1,65,-34.6
251,davila,18.47,120.58,4.7,20,64,75.2
252,namatanai,-3.67,152.43,12.5,100,74,85.55
253,tambacounda,13.75,-13.76,4.7,0,42,80.6
254,vila franca do campo,37.72,-25.43,6.93,20,81,53.6
255,zhuanghe,39.7,122.99,3.0,0,21,37.0
256,antalaha,-14.9,50.28,18.48,94,81,80.6
257,chokurdakh,70.63,147.92,11.56,7,91,-28.08
258,pacific grove,36.62,-121.92,17.22,1,46,48.2
259,cocorit,27.58,-109.97,4.7,90,60,71.6
260,khani,41.96,42.96,10.29,90,86,41.0
261,coahuayana,18.73,-103.68,3.96,75,53,77.0
262,san clemente,33.43,-117.61,6.93,1,87,56.46
263,santa vitoria do palmar,-33.52,-53.37,10.2,0,88,69.67
264,san rafael del sur,11.85,-86.44,16.11,20,48,86.0
265,codrington,-38.27,141.97,18.45,0,60,56.97
266,bereda,43.27,-7.54,20.8,85,72,58.66
267,ariquemes,-9.91,-63.04,2.64,100,99,73.31
268,araouane,18.9,-3.53,9.04,0,10,64.89
269,honavar,14.28,74.45,3.62,100,63,73.72
270,sjenica,43.27,20.0,6.46,100,92,34.99
271,broken hill,-31.95,141.43,17.22,0,43,69.8
272,hanyang,32.14,105.51,1.99,77,72,46.99
273,chifeng,42.27,118.96,10.83,81,39,11.89
274,goya,-29.14,-59.26,6.44,0,38,79.09
275,portales,34.19,-103.33,8.05,75,27,53.44
276,nur,52.67,22.32,10.54,79,90,34.18
277,tabou,4.42,-7.35,3.74,9,96,74.91
278,valer,60.68,11.83,3.36,43,68,27.41
279,aden,12.78,45.04,9.57,67,75,73.85
280,bilma,18.69,12.92,0.31,0,25,55.13
281,tucurui,-3.77,-49.67,3.51,100,95,74.37
282,souillac,-20.52,57.52,12.75,40,94,78.4
283,touros,-5.2,-35.46,3.36,40,88,78.8
284,tuatapere,-46.13,167.68,1.48,100,97,61.02
285,nemuro,43.32,145.57,1.12,20,68,24.8
286,orcopampa,-15.27,-72.34,1.05,100,80,37.6
287,kaeo,-35.1,173.78,5.99,0,58,84.99
288,ketchikan,55.34,-131.65,5.82,75,93,33.71
289,mao,39.89,4.27,5.82,25,93,53.6
290,abu samrah,35.3,37.18,4.85,0,75,42.12
291,tiznit,29.58,-9.5,9.26,0,27,58.87
292,ilam,26.92,87.92,2.84,0,78,44.42
293,batagay-alyta,67.8,130.41,3.18,0,68,-23.33
294,flinders,-34.58,150.86,17.22,49,23,83.95
295,karratha,-20.74,116.85,8.55,82,64,85.62
296,veraval,20.9,70.37,13.8,0,29,66.94
297,egvekinot,66.32,-179.17,14.56,17,93,-19.23
298,marsh harbour,26.54,-77.06,15.88,0,58,67.32
299,den helder,52.96,4.76,20.8,90,93,49.21
300,dandong,40.13,124.39,9.37,0,29,24.21
301,eyl,7.98,49.82,19.19,95,74,76.28
302,airai,-8.93,125.41,3.71,100,62,80.02
303,darab,28.75,54.54,1.23,0,73,40.96
304,cananeia,-25.01,-47.93,1.74,100,94,72.72
305,zhigansk,66.77,123.37,8.12,30,95,-32.08
306,sistranda,63.73,8.83,6.93,20,86,33.8
307,porbandar,21.64,69.61,12.8,0,40,69.15
308,loandjili,-4.76,11.86,4.7,20,88,78.8
309,mujiayingzi,42.12,118.78,6.6,67,30,17.31
310,boca do acre,-8.75,-67.4,2.84,100,96,71.6
311,emerald,-23.53,148.17,9.17,40,46,91.4
312,narsaq,60.92,-46.05,6.93,10,59,-0.4
313,severo-kurilsk,50.68,156.12,9.91,55,83,18.5
314,kargasok,59.06,80.86,9.6,100,93,4.21
315,laguna,38.42,-121.42,5.82,1,34,48.47
316,portland,45.52,-122.68,3.36,40,75,36.39
317,necochea,-38.55,-58.74,1.01,0,90,60.22
318,saint george,37.1,-113.58,11.41,1,28,59.99
319,arman,59.7,150.17,6.96,0,76,-3.14
320,buin,-33.73,-70.75,17.22,0,22,75.2
321,turukhansk,65.82,87.98,17.98,100,91,-9.6
322,acapulco,16.86,-99.89,6.93,40,74,80.6
323,ostrovnoy,68.05,39.51,7.0,100,95,6.98
324,adre,13.47,22.2,15.52,96,24,58.59
325,kodinar,20.79,70.7,13.8,0,29,66.94
326,talaya,61.38,152.75,2.08,100,99,-28.03
327,udachnyy,66.42,112.4,2.42,3,65,-34.6
328,horasan,40.05,42.17,2.17,0,92,3.76
329,soe,-9.86,124.28,7.18,100,68,84.45
330,zig,40.13,-92.77,5.06,1,75,39.13
331,sovetskaya gavan,48.97,140.29,3.76,0,70,9.48
332,bollnas,61.35,16.39,1.01,1,97,27.0
333,kachug,53.96,105.88,1.39,64,89,-20.02
334,kizema,61.11,44.83,8.81,100,96,28.71
335,kupang,-10.17,123.58,9.17,75,83,84.2
336,yongan,39.7,113.69,9.22,0,42,18.23
337,hay river,60.82,-115.8,9.17,75,76,-11.2
338,alice springs,-23.7,133.88,12.75,75,44,77.0
339,pondicherry,11.93,79.83,9.55,3,65,78.8
340,telde,27.99,-15.42,6.93,0,28,69.1
341,lasa,46.62,10.7,4.7,20,93,35.76
342,bay roberts,47.6,-53.26,17.22,90,93,38.52
343,iznoski,54.99,35.31,10.13,100,97,33.66
344,ryotsu,38.08,138.43,8.05,90,61,47.14
345,chickasha,35.05,-97.94,10.29,1,31,63.75
346,kommunar,59.62,30.39,8.95,90,93,33.44
347,gat,31.61,34.76,3.36,59,93,48.2
348,malakal,9.53,31.66,6.64,70,18,69.12
349,ponta do sol,32.67,-17.1,13.87,20,72,65.75
350,san juan,-31.54,-68.54,4.45,6,35,84.69
351,puri,19.8,85.85,7.81,40,72,66.2
352,jaciara,-15.97,-54.97,0.56,100,83,74.75
353,hovd,48.01,91.64,1.81,0,54,-1.98
354,vitim,59.45,112.56,1.86,95,93,-25.04
355,ola,59.58,151.28,6.91,0,73,-8.19
356,palmer,42.16,-72.33,2.64,90,69,32.52
357,roebourne,-20.78,117.13,4.52,97,26,97.3
358,palana,59.12,159.97,13.85,0,84,-7.42
359,mnogovershinnyy,53.94,139.92,1.5,100,90,4.03
360,gizo,-8.1,156.84,6.51,78,70,83.48
361,ongandjera,-17.88,15.07,7.34,73,47,76.77
362,vera cruz,-12.63,-41.03,3.09,94,90,70.16
363,dubbo,-32.25,148.62,16.11,3,30,82.4
364,hostotipaquillo,21.07,-104.07,1.99,100,87,55.96
365,harper,4.38,-7.72,3.74,9,96,74.91
366,grindavik,63.84,-22.43,9.17,95,80,33.08
367,el dorado,33.21,-92.67,6.55,1,50,58.28
368,alice,27.75,-98.07,8.05,1,55,65.14
369,wunsiedel,50.03,12.02,9.17,40,87,45.05
370,youhao,47.87,128.83,6.24,100,80,-1.91
371,amazar,53.86,120.88,8.23,100,84,-13.43
372,rupert,42.62,-113.68,12.75,90,79,26.06
373,ngunguru,-35.62,174.5,5.99,12,58,84.99
374,skjervoy,70.03,20.97,28.5,67,68,32.05
375,padang,-0.95,100.35,7.58,95,65,78.39
376,salalah,17.02,54.09,5.82,33,68,69.8
377,coihaique,-45.58,-72.07,3.36,56,62,57.2
378,uyo,5.03,7.93,1.72,100,93,74.52
379,grand gaube,-20.01,57.66,12.75,40,94,78.31
380,bandar,2.05,99.75,3.69,48,73,81.34
381,fallon,39.47,-118.78,24.16,90,92,28.36
382,sobolevo,54.43,31.9,17.4,100,79,34.11
383,biak,-0.91,122.88,4.0,100,68,83.12
384,sosua,19.77,-70.52,8.93,20,94,75.83
385,barahona,18.21,-71.1,3.51,11,67,79.57
386,darnah,32.77,22.64,16.17,0,80,60.87
387,masvingo,-20.06,30.83,2.98,29,79,61.65
388,conguaco,14.04,-90.03,10.16,0,72,66.87
389,saldanha,-33.01,17.94,8.05,47,93,60.8
390,guaruja,-23.99,-46.26,6.93,90,88,68.5
391,jesus del monte,19.11,-99.99,8.05,90,47,55.4
392,isangel,-19.55,169.27,9.17,75,70,87.8
393,sidney,-33.87,151.21,5.82,20,57,82.9
394,vila velha,-20.33,-40.29,4.7,75,88,78.91
395,maceio,-9.67,-35.74,3.36,40,88,78.8
396,dongobesh,-4.07,35.38,2.04,97,95,55.71
397,ravar,31.27,56.81,5.35,14,42,36.91
398,chapleau,47.84,-83.4,4.7,90,100,30.2
399,chaozhou,23.67,116.64,2.24,75,82,57.2
400,kande,9.96,1.04,4.21,0,10,65.26
401,sarangani,5.4,125.46,18.43,42,73,81.5
402,orje,59.48,11.66,5.82,0,68,29.03
403,bone,51.97,12.14,9.17,75,87,45.61
404,nizhniy odes,63.64,54.86,9.86,100,93,21.76
405,rocha,-34.48,-54.33,8.68,0,74,67.55
406,sinjai,-5.12,120.25,2.04,100,67,82.47
407,paamiut,61.99,-49.67,8.9,83,38,19.96
408,itarema,-2.92,-39.92,3.71,3,94,75.16
409,matagami,49.75,-77.63,5.82,90,92,28.4
410,madinat sittah uktubar,29.82,31.05,2.24,0,76,50.0
411,ibotirama,-12.19,-43.22,1.01,46,77,73.58
412,dillon,34.42,-79.37,9.17,1,53,54.45
413,mount isa,-20.73,139.5,4.7,75,52,87.8
414,saint-leu,-21.15,55.28,20.8,20,83,74.86
415,le mars,42.79,-96.17,6.93,1,100,34.27
416,vardo,70.37,31.11,7.76,100,94,23.18
417,port-gentil,-0.72,8.78,8.25,100,88,77.32
418,kalabo,-14.97,22.68,5.28,99,92,68.36
419,juba,4.85,31.58,1.12,86,17,78.51
420,japura,-0.32,102.35,3.31,91,73,81.86
421,porto santo,33.07,-16.34,9.17,40,93,63.59
422,soderhamn,61.3,17.06,1.01,3,97,29.21
423,ampanihy,-24.7,44.75,5.59,0,59,71.82
424,chuy,-33.7,-53.46,10.2,0,88,69.67
425,natal,-5.79,-35.21,5.82,40,88,79.72
426,panshi,42.94,126.06,8.21,31,83,6.66
427,xuddur,4.12,43.89,15.17,22,80,67.55
428,priiskovyy,51.93,116.63,2.26,90,81,-18.49
429,saint-augustin,51.23,-58.65,29.95,100,91,21.97
430,nowshera,34.01,72.0,4.7,20,60,42.8
431,boguchany,58.38,97.45,3.04,43,96,-27.67
432,marathon,44.9,-89.77,9.17,75,69,37.26
433,taltal,-25.4,-70.48,2.93,0,86,61.02
434,abu kamal,34.45,40.92,4.83,0,56,43.47
435,casper,42.87,-106.31,19.46,1,80,29.28
436,seoul,37.57,126.98,2.24,1,43,33.06
437,nome,64.5,-165.41,21.92,90,77,5.0
438,mitsamiouli,-11.38,43.28,4.9,34,70,82.35
439,bathsheba,13.22,-59.52,12.75,20,74,78.8
440,pointe michel,15.25,-61.38,5.82,75,94,71.6
441,bialogard,54.01,15.99,9.98,95,85,41.0
442,arantangi,10.17,78.98,12.93,38,70,76.8
443,kharp,66.8,65.81,2.75,79,99,-15.07
444,otofuke,42.99,143.2,1.12,75,78,14.0
445,rio grande,-32.03,-52.1,14.83,0,82,72.37
446,sarkand,45.41,79.92,5.35,3,50,31.98
447,lorengau,-2.02,147.27,13.0,100,78,84.65
448,luangwa,-15.62,30.42,2.1,99,94,68.45
449,tomatlan,19.93,-105.25,4.07,100,65,69.84
450,ranong,9.97,98.63,8.05,20,74,80.6
451,erzin,36.96,36.2,3.24,0,93,42.1
452,borovskoy,53.8,64.15,2.01,74,99,5.86
453,kamaishi,39.27,141.88,3.36,75,80,33.8
454,ambo,-10.13,-76.2,2.91,100,94,49.59
455,herrin,37.8,-89.03,6.93,1,71,50.92
456,ucluelet,48.93,-125.55,3.36,20,100,35.74
457,tete,-16.16,33.59,6.93,75,94,77.0
458,birao,10.28,22.79,11.7,30,18,64.54
459,buta,2.79,24.73,0.25,25,57,68.56
460,maragogi,-9.01,-35.22,11.81,100,79,81.43
461,manokwari,-0.87,134.08,6.91,76,78,79.45
462,bozhou,33.88,115.77,10.51,0,41,43.65
463,oleksandrivka,48.96,32.23,13.56,99,86,39.24
464,carora,10.18,-70.08,4.61,100,79,71.89
465,kysyl-syr,63.9,122.76,5.1,0,95,-30.64
466,sao filipe,14.9,-24.5,13.4,0,65,69.31
467,paracuru,-3.41,-39.03,2.24,40,78,82.17
468,don benito,38.96,-5.86,1.99,23,92,53.01
469,agadez,19.75,10.25,2.48,0,24,56.48
470,sao gabriel da cachoeira,-0.13,-67.09,2.55,100,98,73.65
471,san carlos de bariloche,-41.15,-71.31,13.87,0,38,59.0
472,lebyazhye,55.27,66.49,2.28,40,99,3.76
473,kahului,20.89,-156.47,21.92,40,45,75.83
474,champerico,14.3,-91.92,0.63,0,79,76.19
475,mocuba,-16.84,36.99,1.39,100,98,73.06
476,temir,49.14,57.13,5.12,61,97,10.2
477,olafsvik,64.89,-23.71,10.58,100,61,32.77
478,bahia honda,22.9,-83.16,9.44,55,72,65.17
479,namibe,-15.2,12.15,6.53,100,80,73.36
480,kati,12.74,-8.07,8.05,0,19,75.2
481,marsa matruh,31.35,27.25,7.47,61,81,53.6
482,ayagoz,47.97,80.44,1.57,100,55,14.52
483,luwuk,-0.95,122.79,4.0,100,68,83.12
484,mehamn,71.04,27.85,27.29,100,79,28.89
485,ust-kuyga,70.02,135.6,8.39,12,97,-32.46
486,pauini,-7.71,-66.98,2.64,100,97,73.47
487,cessnock,-32.83,151.35,14.99,75,66,87.85
488,road town,18.42,-64.62,6.38,20,78,77.97
489,teresina,-5.09,-42.8,6.93,20,78,82.4
490,los zacatones,22.95,-102.05,11.41,75,87,50.0
491,khandyga,62.67,135.6,2.44,75,89,-20.65
492,motygino,58.18,94.76,5.61,68,90,-18.24
493,merauke,-8.47,140.33,8.86,9,55,91.33
494,dinghai,26.28,119.79,8.95,75,87,53.6
495,marzuq,14.4,46.47,3.24,97,80,61.7
496,morropon,-5.18,-79.97,2.73,100,86,67.01
497,southampton,50.9,-1.4,13.87,68,87,49.32
498,qasigiannguit,68.82,-51.19,2.24,100,65,3.2
499,oktyabrskiy,54.48,53.47,16.11,100,92,25.25
500,myre,69.1,15.95,23.04,93,86,27.48
